"name","x_concept_source","x_concept_code","description","detailed_type"
"HIV VIRAL LOAD","LOINC","10351-5","<p>HIVVIRALLOAD(Serum)</p>","service"
"HEPATITIS C VIRAL LOAD","LOINC","11011-4","<p>HEPATITISCVIRALLOAD(Plasma)</p>","service"
"Hepatitis C Antibody(Plasma)","LOINC","16128-1","<p>Hepatitis C Antibody(Plasma)</p>","service"
"ALT(Serum)","LOINC","1742-6","<p>ALT(Serum)</p>","service"
"AST(Serum)","LOINC","1920-8","<p>AST(Serum)</p>","service"
"Hematocrit(Whole Blood)","LOINC","20570-8","<p>Hematocrit(Whole Blood)</p>","service"
"Total Cholesterol(Serum)","LOINC","2093-3","<p>Total Cholesterol(Serum)</p>","service"
"Creatinine(Serum)","LOINC","2160-0","<p>Creatinine(Serum)</p>","service"
"Glucose(Whole Blood)","LOINC","2345-7","<p>Glucose(Whole Blood)</p>","service"
"Urinalysis 2(Urine)","LOINC","24356-8","<p>Urinalysis 2(Urine)</p>","service"
"Triglycerides(Plasma)","LOINC","2571-8","<p>Triglycerides(Plasma)</p>","service"
"HEPATITIS B VIRAL LOAD","LOINC","29615-2","<p>HEPATITISBVIRALLOAD(Serum)</p>","service"
"Blood Urea Nitrogen(Plasma)","LOINC","3094-0","<p>Blood Urea Nitrogen(Plasma)</p>","service"
"Red Blood Cells","LOINC","32423-2","","service"
"White blood Cells","LOINC","3432-9","","service"
"Malaria Rapid Test(Whole Blood)","LOINC","51587-4","<p>Malaria Rapid Test(Whole Blood)</p>","service"
"Hepatitis B Surface Antigen(Plasma)","LOINC","5195-3","<p>Hepatitis B Surface Antigen(Plasma)</p>","service"
"Complete Blood Count(Whole Blood)","LOINC","58410-2","<p>Complete Blood Count(Whole Blood)</p>","service"
"Monocytes (%)","LOINC","5905-5","<p>Monocytes (%)(Whole Blood)</p>","service"
"White Blood Cell Count(Whole Blood)","LOINC","6690-2","<p>White Blood Cell Count(Whole Blood)</p>","service"
"HIV Rapid Test(Plasma)","LOINC","68961-2","<p>HIV Rapid Test(Plasma)</p>","service"
"Hemoglobin(Whole Blood)","LOINC","718-7","<p>Hemoglobin(Whole Blood)</p>","service"
"Lymphocytes (Abs)","LOINC","731-0","<p>Lymphocytes (Abs)(Whole Blood)</p>","service"
"Lymphocytes (%)","LOINC","736-9","<p>Lymphocytes (%)(Whole Blood)</p>","service"
"Monocytes (Abs)","LOINC","742-7","<p>Monocytes (Abs)(Whole Blood)</p>","service"
"Platelet Count(Whole Blood)","LOINC","777-3","<p>Platelet Count(Whole Blood)</p>","service"
"DENGUE PCR","LOINC","7855-0","<p>DENGUEPCR(DBS)</p>","service"
"COVID-19 PCR","LOINC","94500-6","<p>COVIDPCR(Sputum)</p>","service"
"COVID-19 ANTIBODY IgM","LOINC","94547-7","<p>COVID-19ANTIBODYIgM(Serum)</p>","service"
"Anti-ER","","","<p>Anti-ER</p>","service"
